ejercicio_presupuestario,servicio_id,programa_id,programa_desc,subprograma_id,subprograma_desc,proyecto_id,proyecto_desc,actividad_id,actividad_desc,obra_id,obra_desc,ultima_actualizacion_fecha
2023,105,21,Aplicaciones de la Tecnologia Nuclear,0,Aplicaciones de la Tecnologia Nuclear,32,"Adecuacion de Instalaciones del Centro Atomico Ezeiza, Provincia de Buenos Aires",0,"Adecuacion de Instalaciones del Centro Atomico Ezeiza, Provincia de Buenos Aires",51,"Adecuacion de Instalaciones del Centro Atomico Ezeiza, Provincia de Buenos Aires",2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,1,Coordinacion y Administracion,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,2,Gestion Ambiental y Seguridad Nuclear,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,3,Gestion de Residuos Radiactivos,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,4,Restitucion Ambiental de Mineria de Uranio,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,4,Tratamiento Residuos Radiactivos de Baja Actividad,0,Tratamiento Residuos Radiactivos de Baja Actividad,51,Tratamiento Colas de Mineral de Uranio Malargue,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,4,Tratamiento Residuos Radiactivos de Baja Actividad,0,Tratamiento Residuos Radiactivos de Baja Actividad,52,Tratamiento Colas de Mineral de Uranio Los Gigantes,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,4,Tratamiento Residuos Radiactivos de Baja Actividad,0,Tratamiento Residuos Radiactivos de Baja Actividad,53,Tratamiento Colas de Mineral de Uranio Complejo Cordoba,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,9,Equipamiento de Laboratorios de Quimica de Reactores y Ciclo del Combustible,0,Equipamiento de Laboratorios de Quimica de Reactores y Ciclo del Combustible,51,Equipamiento de Laboratorios de Quimica de Reactores y Ciclo del Combustible,2024-07-01 00:00:00
2023,105,22,Acciones para la Seguridad Nuclear y Proteccion Ambiental,0,Acciones para la Seguridad Nuclear y Proteccion Ambiental,10,Mejora de la Capacidad de Servicios Internos del Centro Atomico Constituyentes - Construccion y Remodelacion de la Infraestructu,0,Mejora de la Capacidad de Servicios Internos del Centro Atomico Constituyentes - Construccion y Remodelacion de la Infraestructu,51,Mejora de la Capacidad de Servicios Internos del Centro Atomico Constituyentes - Construccion y Remodelacion de la Infraestructu,2024-07-01 00:00:00
2023,105,23,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,0,Investigacion y Aplicaciones no Nucleares,1,Coordinacion y Administracion,0,Investigacion y Aplicaciones no Nucleares,2024-07-01 00:00:00
